БД 2-3 ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ;000001@;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/0adce98e-daaf-4de5-b5a8-34408f733146.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231215/us-east-1/s3/aws4_request&X-Amz-Date=20231215T131115Z&X-Amz-SignedHeaders=host&X-Amz-Signature=5c4ebbff6e44630163031be1eff6622ae4d8026b14f1b533e532e4e37f9895aa
ВС 3 ФИНАНСОВЫЙ УНИВЕРСИТЕТ;000001@;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/b6140cb1-af77-47ce-b94d-d7fe9315d84e.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231215/us-east-1/s3/aws4_request&X-Amz-Date=20231215T131115Z&X-Amz-SignedHeaders=host&X-Amz-Signature=bb87a53916c916786a65cdd38c51d7fb669542c836086795c31dd828d2269055
метод системного управления стрессом;235916@;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/f04523a7-4008-4e14-beb9-31f5b55080e9.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231215/us-east-1/s3/aws4_request&X-Amz-Date=20231215T131115Z&X-Amz-SignedHeaders=host&X-Amz-Signature=69b9bf2e25338c754e7fdb83101cf738f99fb81f858a0a8354b7caeb962c642f
БД 2-4 СИСТЕМА УПРАВЛЕНИЯ ОТНОШЕНИЯМИ С КЛИЕНТАМИ (CRM);000001@;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/b9fb3324-b015-423e-93a2-08021cea15f4.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231215/us-east-1/s3/aws4_request&X-Amz-Date=20231215T131115Z&X-Amz-SignedHeaders=host&X-Amz-Signature=cee42be35aa919eefce519b63352aec5141fe07ff8a1044a845ad8413ad4bae4
ВЗАИМОДЕЙСТВИЕ В КОМАНДЕ;000001@;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/8006f992-9c97-45b1-8d69-27b462caa236.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231215/us-east-1/s3/aws4_request&X-Amz-Date=20231215T131115Z&X-Amz-SignedHeaders=host&X-Amz-Signature=156d257778968aeadba6f32ea9277c08941f121e295e2c032605f3f4d5a4dd7d
ПСИХОЛОГИЯ ЛИЧНОСТИ;000001@;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/98d279ac-d28f-4613-aaa9-15176e148e0d.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231215/us-east-1/s3/aws4_request&X-Amz-Date=20231215T131115Z&X-Amz-SignedHeaders=host&X-Amz-Signature=19ff82553d83796f4887581f670e59b456d71b6e93ffd67a71990f36e3e94ffa
БД 3-1 КОРПОРАТИВНЫЕ КРЕДИТНЫЕ РИСКИ;000001@;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/e3d4e0c4-4fb6-458a-bfc5-44728017179c.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231215/us-east-1/s3/aws4_request&X-Amz-Date=20231215T131115Z&X-Amz-SignedHeaders=host&X-Amz-Signature=93f92901500bdb1c50dc2049530ee66fca9465fafca3deadb4043607daaf7b18
умение вести себя этично;235918@;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/1ca71adc-28b5-4790-8d3c-8c6aa16b2e73.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231215/us-east-1/s3/aws4_request&X-Amz-Date=20231215T131115Z&X-Amz-SignedHeaders=host&X-Amz-Signature=26f20cfdd7d8be5e76df1dec7c7ea5c7bbe1f49a6ef897e86db8c298051a60f5
Групповая динамика и руководство;235918@;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/7bb2be9b-7ae7-4b79-8710-d322311ea4e0.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231215/us-east-1/s3/aws4_request&X-Amz-Date=20231215T131115Z&X-Amz-SignedHeaders=host&X-Amz-Signature=87e5720ff0c26806677eb247e090c59e3271aa1fe54d92d91fef9d45f9404cfb
МОТИВАЦИЯ И САМООЦЕНКА;000001@;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/aa6eca66-c8ac-45b2-9c22-a4a350c7b14a.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231215/us-east-1/s3/aws4_request&X-Amz-Date=20231215T131115Z&X-Amz-SignedHeaders=host&X-Amz-Signature=95651b8588c6b2b9a09689b4abf98e33dd3be12f0ce380046b0e04518868da9a
